mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne,hasCommitData,mainProjectName2,methodName2,filePath2,noBugFixes,noCommitFixes,noClones,hasCoverageData,projectName3,typeName3,methodName3,LINE_covered
ambrose,ambrose-common,/ambrose-common/src/test/java/com/twitter/ambrose/model/DAGNodeTest.java,com.twitter.ambrose.model.DAGNodeTest,testRoundTrip,()V,void testRoundTrip(),org.junit.Test,4,4,3,ImmutableList of(Object element)|void setSuccessors(Collection<DAGNode<? extends Job>> successors)|void testRoundTrip(DAGNode expected),3,void testRoundTrip(DAGNode expected),1,,0,1,1,0,0,java.io.IOException,0,3,,0,,0,yes,ambrose,testRoundTrip,common/src/test/java/com/twitter/ambrose/model/DAGNodeTest.java,10,3,0,yes,ambrose-common,com.twitter.ambrose.model.DAGNodeTest,testRoundTrip,126
ambrose,ambrose-common,/ambrose-common/src/test/java/com/twitter/ambrose/model/EventTest.java,com.twitter.ambrose.model.EventTest,testRoundTrip,()V,void testRoundTrip(),org.junit.Test,7,7,4,HashMap newHashMap()|Object put(Object key; Object value)|Object setProperty(String key; String value)|void testRoundTrip(Event expected),4,void testRoundTrip(Event expected),1,,0,1,1,0,0,java.io.IOException,0,5,,0,,0,yes,ambrose,testRoundTrip,common/src/test/java/com/twitter/ambrose/model/EventTest.java,5,1,0,yes,ambrose-common,com.twitter.ambrose.model.EventTest,testRoundTrip,126
ambrose,ambrose-common,/ambrose-common/src/test/java/com/twitter/ambrose/model/EventTest.java,com.twitter.ambrose.model.EventTest,testFromJson,()V,void testFromJson(),org.junit.Test,5,5,8,Event<?> fromJson(String json)|Map<String;Number> getMetrics()|Object get(Object key)|String getId()|T getJob()|T getPayload()|void assertEquals(Object expected; Object actual),7,,0,,0,1,1,0,0,java.io.IOException,2,2,,0,,0,yes,ambrose,testFromJson,common/src/test/java/com/twitter/ambrose/model/EventTest.java,30,3,0,yes,ambrose-common,com.twitter.ambrose.model.EventTest,testFromJson,126
ambrose,ambrose-common,/ambrose-common/src/test/java/com/twitter/ambrose/model/JobTest.java,com.twitter.ambrose.model.JobTest,testRoundTrip,()V,void testRoundTrip(),org.junit.Test,6,6,4,HashMap newHashMap()|Object put(Object key; Object value)|Object setProperty(String key; String value)|void testRoundTrip(Job expected),4,void testRoundTrip(Job expected),1,,0,1,1,0,0,java.io.IOException,0,1,,0,,0,yes,ambrose,testRoundTrip,common/src/test/java/com/twitter/ambrose/model/JobTest.java,6,2,0,yes,ambrose-common,com.twitter.ambrose.model.JobTest,testRoundTrip,126
ambrose,ambrose-common,/ambrose-common/src/test/java/com/twitter/ambrose/model/JobTest.java,com.twitter.ambrose.model.JobTest,testPolymorphism,()V,void testPolymorphism(),org.junit.Test,13,13,9,void setAliases(String[] aliases)|void setFeatures(String[] features)|void setId(String id)|void testRoundTrip(Job expected),4,void testRoundTrip(Job expected),1,,0,3,3,0,0,java.io.IOException,0,3,,0,,0,notfound,,,,,,,yes,ambrose-common,com.twitter.ambrose.model.JobTest,testPolymorphism,126
ambrose,ambrose-common,/ambrose-common/src/test/java/com/twitter/ambrose/service/impl/InMemoryStatsServiceTest.java,com.twitter.ambrose.service.impl.InMemoryStatsServiceTest,testGetAllEvents,()V,void testGetAllEvents(),org.junit.Test,6,8,9,Collection<Event> getEventsSinceId(String workflowId; int sinceId)|Iterator iterator()|Object next()|boolean hasNext()|void assertEqualWorkflows(Event expected; Event found)|void assertFalse(String message; boolean condition)|void assertTrue(String message; boolean condition)|void pushEvent(String workflowId; Event event),8,void assertEqualWorkflows(Event expected; Event found),1,,0,1,1,0,0,java.io.IOException,2,4,,0,,0,yes,ambrose,testGetAllEvents,common/src/test/java/com/twitter/ambrose/service/impl/InMemoryStatsServiceTest.java,3,2,0,yes,ambrose-common,com.twitter.ambrose.service.impl.InMemoryStatsServiceTest,testGetAllEvents,126
ambrose,ambrose-common,/ambrose-common/src/test/java/com/twitter/ambrose/service/impl/InMemoryStatsServiceTest.java,com.twitter.ambrose.service.impl.InMemoryStatsServiceTest,testGetEventsSince,()V,void testGetEventsSince(),org.junit.Test,8,12,14,Collection<Event> getEventsSinceId(String workflowId; int sinceId)|Iterator iterator()|Object next()|boolean hasNext()|int getId()|int size()|void assertEqualWorkflows(Event expected; Event found)|void assertEquals(String message; long expected; long actual)|void assertFalse(String message; boolean condition)|void pushEvent(String workflowId; Event event),10,void assertEqualWorkflows(Event expected; Event found),1,,0,1,1,0,0,java.io.IOException,2,4,,0,,0,yes,ambrose,testGetEventsSince,common/src/test/java/com/twitter/ambrose/service/impl/InMemoryStatsServiceTest.java,5,2,0,yes,ambrose-common,com.twitter.ambrose.service.impl.InMemoryStatsServiceTest,testGetEventsSince,126
ambrose,ambrose-common,/ambrose-common/src/test/java/com/twitter/ambrose/service/impl/InMemoryStatsServiceTest.java,com.twitter.ambrose.service.impl.InMemoryStatsServiceTest,testGetEventsMax,()V,void testGetEventsMax(),org.junit.Test,4,10,8,Collection<Event> getEventsSinceId(String workflowId; int sinceId; int maxEvents)|Iterator iterator()|Object next()|boolean hasNext()|int getId()|void assertEqualWorkflows(Event expected; Event found)|void assertFalse(String message; boolean condition)|void pushEvent(String workflowId; Event event),8,void assertEqualWorkflows(Event expected; Event found),1,,0,2,2,0,0,java.io.IOException,1,3,,0,,0,notfound,,,,,,,yes,ambrose-common,com.twitter.ambrose.service.impl.InMemoryStatsServiceTest,testGetEventsMax,128
ambrose,ambrose-common,/ambrose-common/src/test/java/com/twitter/ambrose/service/impl/hraven/HRavenStatsWriteServiceTest.java,com.twitter.ambrose.service.impl.hraven.HRavenStatsWriteServiceTest,testInitHBaseConfiguration,()V,void testInitHBaseConfiguration(),org.junit.Test,27,27,24,Configuration initHBaseConfiguration(Configuration jobConf)|String get(String name)|String getZooKeeperClusterKey(Configuration conf)|void assertEquals(Object expected; Object actual)|void set(String name; String value),5,,0,,0,0,0,0,0,,6,6,,0,,0,notfound,,,,,,,yes,ambrose-common,com.twitter.ambrose.service.impl.hraven.HRavenStatsWriteServiceTest,testInitHBaseConfiguration,140
ambrose,ambrose-common,/ambrose-common/src/test/java/com/twitter/ambrose/util/JSONUtilTest.java,com.twitter.ambrose.util.JSONUtilTest,test,()V,void test(),org.junit.Test,2,2,3,ImmutableMap of(Object k1; Object v1)|void test(Object obj; String expected),2,void test(Object obj; String expected),1,,0,2,2,0,0,java.io.IOException,0,2,,0,,0,notfound,,,,,,,yes,ambrose-common,com.twitter.ambrose.util.JSONUtilTest,test,140
